SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
83,20190083,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,53,,,70,,,62.5,63.3,,,,,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
84,20190084,F,267,NA,IP (Y),SCHOOL Y,0,79,,,59,,,,,,,59,,,,,,,67,,,,63.3,,,,,,,,,,,,,,,,,,,2
85,20190085,M,0,NA,IP (X),SCHOOL X,0,74,,,61.5,,,,,,,60.3,,,53.6,,56,,,,,,,,,,,,,,,,,,,,,,,,,1
86,20190086,F,256,NA,IP (Y),SCHOOL Y,0,75,,,57.5,,,,,,,64.7,,,,,,,72.5,,,,,,,64.4,,,,,,,,,,,,,,,,1
87,20190087,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,60,,,62,,,,67,66,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
88,20190088,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,64,,,27,,,,,53.3,,,,45.2,,,,,,,,,,,,,,,,71.6,,,,,,,,,,,,1
89,20190089,F,266,NA,IP (Y),SCHOOL Y,0,65,,,78,,,,78.6,82.3,,,,70.5,,,,,,,,,,,,,,,,,,,,,,,,77.3,,,,2
90,20190090,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,0,54,,,53,,,,46.1,57.3,,,,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
91,20190091,F,266,NA,IP (Y),SCHOOL Y,0,53,,,39,,,,41.8,53.8,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,1
92,20190092,F,267,NA,IP (Y),SCHOOL Y,0,61,,,51.5,,,,63.8,66.6,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,1
93,20190093,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,60,,,88,,,79.2,75,,,,,65.1,,,,,,,,,,,,,,,,,,,,,52,,,,,,,1
94,20190094,F,251,NA,IP (Y),SCHOOL Y,0,61,,,,,,,,,64.7,,,54.9,,58,,,,,,,,,,,,68,,,,,,,,,,,,,,1
95,20190095,M,253,NA,IP (X),SCHOOL X,0,65,,,83.5,,,82.1,67.4,,,,,60.8,,,,,,,,,,,,,,,,,,,,,51,,,,,,,1
96,20190096,F,261,NA,IP (Y),SCHOOL Y,0,66,,,65.5,,,,77.4,69.1,,,,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
97,20190097,F,259,NA,IP (Y),SCHOOL Y,0,62,,,76,,,56.5,52.5,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,2
98,20190098,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),0,71,,,71,,,,77.5,78.1,,,,63.2,,,,,,,,,,,,,,,,,,,,,,,,88,,,,2
99,20190099,F,0,NA,JAE Ordinary Admission,NAVAL BASE SECONDARY SCHOOL,0,46,,,56,,,,51.4,,,,,39.9,,,,,,,,,50,,,,,,,,,,,,,,,,,,,1
100,20190100,F,265,NA,IP (Y),SCHOOL Y,0,56,,,,,,,,,,,,55.9,,,,,,,,76.8,,67.5,,,,54,,,,,,,,,,,,,89,1
101,20190101,F,0,NA,JAE Ordinary Admission,BOON LAY SECONDARY SCHOOL,0,49,,,33.5,,,41.7,,,,,,MC,,,,50,,,,,,,,,,,,,,,,,,,,,,,,1
102,20190102,F,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,0,57,,,66,,,,71,66.9,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
103,20190103,M,256,NA,IP (X),SCHOOL X,0,64,,,71,,,74,66.8,,,,,53.9,,,,,,,,,,,,,,,,,,,,,32,,,,,,,1
104,20190104,F,254,NA,IP (Y),SCHOOL Y,0,71,,,42,,,,,,,,,62.7,,64.5,,,,,,,,,,,,,,,58.7,,,,,,,,,,,1
105,20190105,M,256,NA,IP (X),SCHOOL X,0,56,,,53,,,,49.3,55.6,,,,43.9,,,,,,,,,,,,,,,,,,,,,,,,64,,,,1
106,20190106,M,263,NA,IP (X),SCHOOL X,0,62,,,68.5,,,81.5,76.8,,,,,,,,,,,,,,68.1,,,,,,,,,,,,,,42,,,,,1
107,20190107,M,255,Repeat Yr1,IP (X),SCHOOL X,0,52,,,49,,MC,MC,,,,,,,,,,,,,,,,,,,,,,,,43.3,,,,,,,,,,1
108,20190108,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,67,,,76.5,,,,73.3,65.9,,,,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
109,20190109,M,258,NA,IP (X),SCHOOL X,0,64,,,65.5,,,67,70.4,,,,,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
110,20190110,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,55,,,62.5,,,47.6,49.5,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
111,20190111,M,257,NA,IP (X),SCHOOL X,0,59,,,61.5,,,78.4,73.9,,,,,50.3,,,,,,,,,,,,,,,,,,,,,,,52,,,,,1
112,20190112,F,259,NA,IP (Y),SCHOOL Y,0,66,,,77,,,75.7,71,,,,,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
113,20190113,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,57,,,58,,,60.4,59,,,,,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
114,20190114,M,257,NA,IP (X),SCHOOL X,0,62,,,47.5,,,,53.6,52.4,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,1
115,20190115,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,61,,,47,,,51.9,57.5,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
116,20190116,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,67,,,73.5,,,,80.3,78.8,,,,,,,,,,,,,,,,,,,,,,74.4,,,,,,,,,,1
117,20190117,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,68,,,28,,,51.5,44.9,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,,1
118,20190118,F,262,NA,IP (Y),SCHOOL Y,0,51,,,31,,,,47.7,,,,,52.8,,,,,,,,,,,,,,,64.4,,,,,,,,,,,,,2
119,20190119,F,269,NA,IP (Y),SCHOOL Y,0,78,,,66,,,,72.9,75.6,,,,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
120,20190120,M,0,NA,IP (X),SCHOOL X,0,60,,,67,,,74.5,69.9,,,,,60.4,,,,,,,,,,,,,,,,,,,,,,,,,53,,,1
121,20190121,M,259,NA,IP (X),SCHOOL X,0,71,,,91.5,,,87.1,90.4,,,,,66.4,,,,,,,,,,,,,,,,,,,,,,,58,,,,,1
122,20190122,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,0,55,,,59,,,42.3,56.6,,,,,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
123,20190123,M,263,NA,IP (X),SCHOOL X,0,58,,,64,,,67.1,63,,,,,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
124,20190124,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,50,,,74.5,,,,68.5,70,,,,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
125,20190125,F,263,NA,IP (Y),SCHOOL Y,0,65,,,48.5,,,,50.9,,,,,61.6,,,,,,68.3,,,,,,,,,,,,,,,,,,,,67.5,,1
126,20190126,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,0,61,,,38.5,,54,46.4,,,,,,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
127,20190127,F,258,NA,IP (Y),SCHOOL Y,0,60,,,,,,,,,58.7,,,57.5,,,,,,,,69.3,,,,,,54,,,,,,,,,,,,,,1
128,20190128,M,258,NA,IP (X),SCHOOL X,0,65,,,56.5,,,,,,,58.7,,,,,58.5,,,,,,,,,77,,,,,,,,,,,,,,,,1
129,20190129,M,269,NA,IP (X),SCHOOL X,0,72,,,50.5,,,,68,60.9,,,,59.9,,,,,,,,,,,,,,,,,,,,,,,37,,,,,2
130,20190130,M,243,NA,IP (X),SCHOOL X,0,56,,,23.5,,,,36.4,48.7,,,,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
131,20190131,M,256,NA,IP (X),SCHOOL X,0,65,,,48.5,,,60.2,,,,,,58.3,,,,48.9,,,,,,,,,,,,,,,,,,,,,,,,1
132,20190132,F,261,NA,IP (Y),SCHOOL Y,0,72,,,85.5,,,,82.1,78.4,,,,70.7,,,,,,,,,,,,,,,,,,,,,,,67,,,,,1
133,20190133,M,260,NA,IP (X),SCHOOL X,0,64,,,86.5,,,78.6,90.6,,,,,71.2,,,,,,,,,,,,,,,,,,,,,,,80,,,,,2
134,20190134,M,246,NA,IP (X),SCHOOL X,0,64,,,65,,,,67.7,65.4,,,,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
135,20190135,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,0,71,,,35.5,,,,47.6,,55.3,,,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
136,20190136,F,261,NA,IP (Y),SCHOOL Y,0,64,,,54.5,,,,55.2,50.6,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
137,20190137,M,249,NA,IP (X),SCHOOL X,0,50,,,28,,,,41,,,,,49.7,,,,,,,,,,,,,,,55.2,,,,,,,,,,,,,1
138,20190138,M,241,NA,DSA (CCA),CHUNG CHENG HIGH SCHOOL (MAIN),0,68,,,76.5,,,68,64.1,,,,,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
139,20190139,F,238,NA,IP (Y),SCHOOL Y,0,56,,,48,,,54.8,50,,,,,,,,,,,,,,,,,,,,,,,53.3,,,,,,,,,,1
140,20190140,M,254,NA,IP (X),SCHOOL X,0,58,,,50.5,,,56,46.8,,,,,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
141,20190141,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,56,,,67,,,,75.9,66.6,,,,,,62,,,,,,,,,,,,,,,,,,,,,34,,,,,1
142,20190142,F,264,NA,IP (Y),SCHOOL Y,0,64,,,75,,,71.6,69.8,,,,,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
143,20190143,F,253,NA,IP (Y),SCHOOL Y,0,54,,,39.5,,,44.9,,,,,,39.2,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,1
144,20190144,F,250,NA,IP (Y),SCHOOL Y,0,69,,,63.5,,,,76,77.2,,,,62.7,,,,,,,,,,,,,,,,,,,,,,,47,,,,,1
145,20190145,F,263,NA,IP (Y),SCHOOL Y,0,64,,,60,,,,60.1,62.9,,,,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
