SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
456,20190456,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,0,54,,,81,,,,57.6,,,,,60.8,,,,,,,,77,,,,,,,,,,,,,,,,,,,74,1
457,20190457,M,0,NA,JAE Ordinary Admission,NGEE ANN SECONDARY SCHOOL,0,65,,,36.5,,71.2,,50.4,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,,1
458,20190458,M,254,NA,IP (X),SCHOOL X,0,57,,,73,,,70.7,66.1,,,,,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
459,20190459,M,254,NA,IP (X),SCHOOL X,0,55,,,56,,,,52.6,52.9,,,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
460,20190460,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,60,,,36,,,,,,58.7,,,60.1,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,1
461,20190461,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,0,51,,,78.5,,,71.4,75.6,,,,,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
462,20190462,M,254,NA,IP (X),SCHOOL X,0,68,,,87.5,,,84.4,84.1,,,,,69.5,,,,,,,,,,,,,,,,,,,,,,,65,,,,,1
463,20190463,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,63,,,74.5,,,,61.8,58.3,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
464,20190464,F,260,NA,IP (Y),SCHOOL Y,0,71,,,74.5,,,70.5,,,,,69.3,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
465,20190465,F,220,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,0,46,,,41,,,,53.8,48.9,,,,,,,,,,,,,,,,,,,,,,64.4,,,,,,,,,,1
466,20190466,M,257,NA,IP (X),SCHOOL X,0,75,,,62,,,,,,,56.3,,,60.1,,,,58.7,,,,,,,,,,,,,,,,,,,,,,,1
467,20190467,M,243,NA,DSA (CCA),RAFFLES INSTITUTION,0,46,,,24.5,,,25.2,31.8,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,1
468,20190468,M,253,NA,IP (X),SCHOOL X,0,,65.8,,57,,,59.4,,,,,,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
469,20190469,M,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,0,62,,,91,,,84.8,80.4,,,,,65.9,,,,,,,,,,,,,,,,,,,,,,,49.5,,,,,2
470,20190470,F,248,NA,IP (Y),SCHOOL Y,0,54,,,57.5,,,58.8,62.7,,,,,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
471,20190471,F,254,NA,IP (Y),SCHOOL Y,0,56,,,6.5,,,,,29.1,,,,45.1,,,,,,,,,,,,,,,,51.8,,,,,,,,,,,,1
472,20190472,F,260,NA,IP (Y),SCHOOL Y,0,62,,,70.5,,,69.6,73.4,,,,,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
473,20190473,M,252,NA,IP (X),SCHOOL X,0,68,,,68.5,,,74.9,68.6,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,78,,,,,,1
474,20190474,M,254,NA,IP (X),SCHOOL X,0,62,,,70,,,,78.3,65.8,,,,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
475,20190475,F,226,NA,IP (Y),SCHOOL Y,0,71,,,49,,,,58,62,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
476,20190476,M,0,NA,JAE Ordinary Admission,FAIRFIELD METHODIST SCHOOL (SECONDARY),0,60,,,80.5,,,,69.2,64.8,,,,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
477,20190477,F,0,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,67,,,72.5,,,,78.9,75.5,,,,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
478,20190478,F,252,NA,IP (Y),SCHOOL Y,0,58,,,17,,,,32.3,43.3,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,,,,,1
479,20190479,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,60,,,55,,,,58.6,63.6,,,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
480,20190480,F,264,NA,IP (Y),SCHOOL Y,0,62,,,78,,,74.6,73.2,,,,,,,,,,,,,,62.4,,,,,,,,,,,,,,,,,,,1
481,20190481,M,255,NA,IP (X),SCHOOL X,0,59,,,58.5,,,,71.8,64.7,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
482,20190482,F,259,NA,IP (Y),SCHOOL Y,0,66,,,28,,,,49.4,59.4,,,,,,,,,,,,,68.1,,,,,,,,,,,,,,,,,,,1
483,20190483,M,256,NA,IP (X),SCHOOL X,0,59,,,64.5,,,61.2,,,,,,55.1,,,,,,,,,68.6,,,,,,,,,,,,,,,,,,,1
484,20190484,F,262,NA,IP (Y),SCHOOL Y,0,50,,,34,,,,,,,,,50.4,,,,,,,,,60.5,,,,,,29.2,,,,,,,,,,,,,0
485,20190485,F,233,NA,IP (Y),SCHOOL Y,0,46,,,50,,,51.9,,,,,,44.7,,,,,,,,,,,,,,,,61.4,,,,,,,,,,,,1
486,20190486,F,262,NA,IP (Y),SCHOOL Y,0,58,,,59,,,59.8,61.4,,,,,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
487,20190487,F,246,NA,IP (Y),SCHOOL Y,0,53,,,59.5,,,54.7,46.1,,,,,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
488,20190488,M,265,NA,IP (X),SCHOOL X,0,,75,,68.5,,,,64.5,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
489,20190489,M,256,NA,IP (X),SCHOOL X,0,52,,,41.5,,,52,49.6,,,,,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
490,20190490,M,243,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,0,62,,,60,,,60.1,58,,,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
491,20190491,M,259,NA,IP (X),SCHOOL X,0,77,,,86,,,85,,,,,,74.8,,,,,,,,,77.6,,,,,,,,,,,,,,,,66,,,2
492,20190492,F,260,NA,IP (Y),SCHOOL Y,0,62,,,48,,,62.5,,,,,50,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
493,20190493,F,264,NA,IP (Y),SCHOOL Y,0,67,,,55,,,,59.9,42.7,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
494,20190494,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,43,,,56.5,,,66.3,64.6,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
495,20190495,F,264,NA,IP (Y),SCHOOL Y,0,72,,,73.5,,,86.1,78.4,,,,,74.9,,,,,,,,,,,,,,,,,,,,,,72,,,,,,2
496,20190496,F,260,NA,IP (Y),SCHOOL Y,0,60,,,50.5,,,58.2,48.4,,,,,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
497,20190497,M,255,NA,IP (X),SCHOOL X,0,74,,,74,,,,,,,,,67.9,,62.5,,,,,,,73.8,,,,,,,,,,,,,,,,,,,1
498,20190498,F,264,NA,IP (Y),SCHOOL Y,0,70,,,68.5,,,,,,,67,,,67.1,,,,66,,,,,,,,,,,,,,,,,,,,,,,1
499,20190499,F,267,NA,IP (Y),SCHOOL Y,0,74,,,61.5,,,,71.2,,74,,,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
500,20190500,M,263,NA,IP (X),SCHOOL X,0,67,,,73,,,77.2,75.8,,,,,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
